Out/2010,0.75,4.3797,5.1954,811.7264
Set/2010,0.45,3.6026,4.7046,805.6837
Ago/2010,0.04,3.1385,4.4858,802.0744
Jul/2010,0.01,3.0973,4.6007,801.7537
Jun/2010,0,3087,4.8412,801.6735
Mai/2010,0.43,3087,5.2187,801.6735
Abr/2010,0.57,2.6456,5.2606,798.2411
Mar/2010,0.52,2.0638,5.1664,793.7169
Fev/2010,0.78,1.5358,4.8315,789.6109
Jan/2010,0.75,0.75,4.5923,783.4996
Dez/2009,0.37,4312,4312,777.6671
Nov/2009,0.41,3.9275,4.2185,774.8004
Out/2009,0.28,3.5031,4.1666,771.6367
Set/2009,0.24,3.2141,4.3431,769482
Ago/2009,0.15,2967,4364,767.6397
Jul/2009,0.24,2.8128,4.4995,766.49
Jun/2009,0.36,2.5666,4.8018,764.6549
Mai/2009,0.47,2.1987,5.1986,761912
Abr/2009,0.48,1.7206,5.5337,758.3477
Mar/2009,0.2,1.2347,5.6072,754.7251
Fev/2009,0.55,1.0326,5.9023,753.2186
Jan/2009,0.48,0.48,5.8391,749.0986
Dez/2008,0.28,5.9023,5.9023,745.5201
Nov/2008,0.36,5.6066,6.3881,743.4385
Out/2008,0.45,5.2278,6.4093,740.7717
Set/2008,0.26,4.7564,6.2504,737.4531
Ago/2008,0.28,4.4847,6.1656,735.5407
Jul/2008,0.53,4193,6.3668,733487
Jun/2008,0.74,3.6436,6.0598,729.6197
Mai/2008,0.79,2.8823,5.5755,724.2602
Abr/2008,0.55,2.0759,5.0413,718.5834
Mar/2008,0.48,1.5176,4.7279,714.6528
Fev/2008,0.49,1.0326,4.6133,711.2389
Jan/2008,0.54,0.54,4.5612,707.7709
Dez/2007,0.74,4.4572,4.4572,703.9695
Nov/2007,0.38,3.6899,4.1876,698.7984
Out/2007,0.3,3.2975,4.1151,696.1531
Set/2007,0.18,2.9884,4146,694.0709
Ago/2007,0.47,2.8034,4.1774,692.8238
Jul/2007,0.24,2.3226,3.7419,689.5828
Jun/2007,0.28,2.0775,3.6901,687.9316
Mai/2007,0.28,1.7925,3.1834,686.0108
Abr/2007,0.25,1.5083,2.9982,684.0953
Mar/2007,0.37,1.2551,2.9571,682.3894
Fev/2007,0.44,0.8819,3.0187,679.8739
Jan/2007,0.44,0.44,2988,676.8956
Dez/2006,0.48,3.1418,3.1418,673.9303
Nov/2006,0.31,2.6491,3.0186,670.7109
Out/2006,0.33,2.3318,3.2651,668.6381
Set/2006,0.21,1.9952,3.6974,666.4389
Ago/2006,0.05,1.7815,3.8422,665.0423
Jul/2006,0.19,1.7306,3.9668,664.7099
Jun/2006,- 0.21,1.5377,4029,663.4494
Mai/2006,0.1,1.7514,4.2271,664.8455
Abri/2006,0.21,1.6497,4.6332,664.1814
Mar/2006,0.43,1.4367,5.3223,662.7895
Fev/2006,0.41,1.0024,5.5111,659.9517
Jan/2006,0.59,0.59,5.7002,657.2569
