2016.10.01,58372,65054,58367,64925,14390161,137932469768,0
2016.11.01,64922,65291,58322,61906,61478409,522776740303,0
2016.12.01,61907,61936,56829,60227,13948859,114551139823,0
2017.01.01,60227,66594,59371,64671,12925225,113769738834,0
2017.02.01,64687,69488,63740,66662,12779823,118095674652,0
2017.03.01,66661,67398,62496,64984,20711503,186956029873,0
2017.04.01,64989,66211,62826,65403,19806100,178042335864,0
2017.05.01,65404,68792,60315,62713,53092129,451348963046,0
2017.06.01,62711,63637,60544,62900,14360391,123449345887,0
2017.07.01,62901,66048,62035,65920,11924997,108275252727,0
2017.08.01,65955,71506,65955,70835,83422797,777475157783,0
2017.09.01,70848,76420,70846,74294,15868122,163221195520,0
2017.10.01,74295,78024,73845,74308,14170978,141263634307,0
2017.11.01,74321,75199,70825,71783,84245572,887009019205,0
2017.12.01,71955,76437,71356,76402,12523002,122263176782,0
2018.01.01,76403,86213,76403,84913,16084123,168799507151,0
2018.02.01,84913,88318,79690,85354,16176560,191791364451,0
2018.03.01,85337,87333,82889,85366,16507745,185543657844,0
2018.04.01,85365,87179,82762,86116,14904727,163380387913,0
2018.05.01,86111,86678,75337,76754,50400079,572733397361,0
2018.06.01,76779,78892,69069,72763,62573314,544198073828,0
2018.07.01,72763,80589,71935,79220,15264548,158974443969,0
2018.08.01,79212,81792,74876,76678,18935990,185075044911,0
2018.09.01,76675,80107,74275,79342,14246827,145357909656,0
2018.10.01,79366,88377,78091,87424,25905908,346113542118,0
2018.11.01,87454,90246,84030,89504,26050193,293205624400,0
2018.12.01,89511,91242,83892,87887,16738362,188865163275,0
2019.01.01,87879,98405,87536,97394,27704846,312943876495,0
2019.02.01,97399,98589,93424,95584,21045855,240584084312,0
2019.03.01,95584,100439,91584,95415,22698515,255403294667,0
2019.04.01,95423,97610,92338,96353,21746777,237773917312,0
2019.05.01,96339,97992,89409,97030,72153988,799530019379,0
2019.06.01,97036,102617,95686,100967,18925923,222736654409,0
2019.07.01,100974,106650,100073,101812,23559486,276402696403,0
2019.08.01,101819,104848,95855,101135,27901853,301239115956,0
2019.09.01,101133,106001,99406,104745,27669790,312410874765,0
2019.10.01,104745,108408,99826,107220,24304212,284540462623,0
2019.11.01,107221,109672,105261,108233,21277770,259708409361,0
2019.12.01,108233,117803,108191,115645,21888337,283210899461,0
2020.01.01,115652,119593,114376,115975,45533419,545272064236,0
